date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:51	38384/38384	---M--	200	added ('OK')	text/html	etag:%2295f0-5b038f2293fc0%22	https://baixarapp.brstore.site/material-design-iconic-font/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0	C:/Users/Administrador/Downloads/Apps%20store/baixarapp.brstore.site/material-design-iconic-font/fonts/Material-Design-Iconic-Fontd1f1.html	(from https://baixarapp.brstore.site/material-design-iconic-font/css/material-design-iconic-font.min.css)
11:46:52	50312/50312	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22c488-5b038f20abb40%22	https://baixarapp.brstore.site/material-design-iconic-font/fonts/Material-Design-Iconic-Font.woff?v=2.2.0	C:/Users/Administrador/Downloads/Apps%20store/baixarapp.brstore.site/material-design-iconic-font/fonts/Material-Design-Iconic-Fontd1f1.woff	(from https://baixarapp.brstore.site/material-design-iconic-font/css/material-design-iconic-font.min.css)
11:46:53	99212/99212	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%221838c-5b038f1fb7900%22	https://baixarapp.brstore.site/material-design-iconic-font/fonts/Material-Design-Iconic-Font.ttf?v=2.2.0	C:/Users/Administrador/Downloads/Apps%20store/baixarapp.brstore.site/material-design-iconic-font/fonts/Material-Design-Iconic-Fontd1f1.ttf	(from https://baixarapp.brstore.site/material-design-iconic-font/css/material-design-iconic-font.min.css)
11:46:53	6626/6626	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2219e2-5afe7af207780%22	https://manager.brstore.site/assets/fonts/flaticon/Flaticon.eot	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/fonts/flaticon/Flaticon.eot	(from https://manager.brstore.site/assets/fonts/flaticon/flaticon.css)
11:46:53	6626/6626	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2219e2-5afe7af207780%22	https://manager.brstore.site/assets/fonts/flaticon/Flaticon.eot?	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/fonts/flaticon/Flaticond41d.eot	(from https://manager.brstore.site/assets/fonts/flaticon/flaticon.css)
11:46:54	3240/3240	---M--	200	added ('OK')	text/html	etag:%22ca8-5afe7af3efc00%22	https://manager.brstore.site/assets/fonts/flaticon/Flaticon.woff2	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/fonts/flaticon/Flaticon.html	(from https://manager.brstore.site/assets/fonts/flaticon/flaticon.css)
11:46:54	282/282	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Apr%202023%2022:01:54%20GMT	https://manager.brstore.site/assets/fonts/flaticon/Flaticon.woff	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/fonts/flaticon/Flaticon.woff	(from https://manager.brstore.site/assets/fonts/flaticon/flaticon.css)
11:46:55	6448/6448	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%221930-5afe7af2fb9c0%22	https://manager.brstore.site/assets/fonts/flaticon/Flaticon.ttf	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/fonts/flaticon/Flaticon.ttf	(from https://manager.brstore.site/assets/fonts/flaticon/flaticon.css)
11:46:56	34998/34998	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2288b6-5afe7af2fb9c0%22	https://manager.brstore.site/assets/fonts/flaticon/Flaticon.svg	C:/Users/Administrador/Downloads/Apps%20store/manager.brstore.site/assets/fonts/flaticon/Flaticon.svg	(from https://manager.brstore.site/assets/fonts/flaticon/flaticon.css)
11:46:56	233/233	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Apr%202023%2022:01:55%20GMT	https://manager.brstore.site/robots.txt		(from https://manager.brstore.site/assets/vendor/slick/slick-theme.css)
